Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,30,47
2004-02,76,27,49
2004-03,69,25,48
2004-04,70,23,47
2004-05,76,22,43
2004-06,65,23,44
2004-07,62,24,45
2004-08,58,27,43
2004-09,57,27,45
2004-10,51,24,43
2004-11,51,23,44
2004-12,43,24,41
2005-01,65,33,44
2005-02,56,28,46
2005-03,59,27,45
2005-04,54,25,43
2005-05,60,25,44
2005-06,53,24,45
2005-07,52,25,44
2005-08,52,28,44
2005-09,46,26,45
2005-10,47,27,45
2005-11,43,26,42
2005-12,39,25,39
2006-01,62,33,45
2006-02,52,29,45
2006-03,51,28,48
2006-04,50,26,46
2006-05,50,26,46
2006-06,53,26,43
2006-07,51,27,44
2006-08,49,30,46
2006-09,45,29,46
2006-10,42,27,45
2006-11,43,26,45
2006-12,38,27,40
2007-01,57,36,47
2007-02,50,34,49
2007-03,51,30,47
2007-04,52,31,48
2007-05,47,32,46
2007-06,49,31,47
2007-07,48,30,50
2007-08,45,31,52
2007-09,44,32,50
2007-10,42,28,52
2007-11,39,28,51
2007-12,35,27,43
2008-01,53,36,54
2008-02,45,30,51
2008-03,44,29,51
2008-04,49,29,53
2008-05,45,27,48
2008-06,43,27,49
2008-07,43,27,51
2008-08,44,31,47
2008-09,41,32,62
2008-10,41,28,74
2008-11,41,29,58
2008-12,37,27,51
2009-01,53,36,55
2009-02,46,31,58
2009-03,49,29,61
2009-04,51,29,58
2009-05,47,28,55
2009-06,47,28,55
2009-07,47,27,56
2009-08,47,31,56
2009-09,43,30,58
2009-10,44,28,55
2009-11,43,28,52
2009-12,39,27,46
2010-01,59,36,51
2010-02,50,31,53
2010-03,51,30,55
2010-04,51,30,56
2010-05,50,28,52
2010-06,47,28,53
2010-07,48,29,51
2010-08,49,31,50
2010-09,46,31,52
2010-10,47,29,50
2010-11,42,29,50
2010-12,40,28,46
2011-01,59,39,49
2011-02,53,33,50
2011-03,52,33,51
2011-04,58,31,51
2011-05,58,33,49
2011-06,53,33,48
2011-07,54,31,48
2011-08,51,33,57
2011-09,50,35,51
2011-10,49,33,50
2011-11,48,34,48
2011-12,44,32,41
2012-01,63,42,45
2012-02,58,38,48
2012-03,57,35,48
2012-04,56,35,45
2012-05,54,35,47
2012-06,54,36,45
2012-07,55,36,45
2012-08,54,37,45
2012-09,51,38,47
2012-10,47,35,46
2012-11,45,32,42
2012-12,40,33,39
2013-01,64,43,47
2013-02,57,39,47
2013-03,57,38,46
2013-04,59,38,47
2013-05,56,37,48
2013-06,56,37,45
2013-07,55,37,46
2013-08,52,40,44
2013-09,50,40,47
2013-10,47,39,48
2013-11,46,37,45
2013-12,41,36,40
2014-01,61,48,46
2014-02,53,43,46
2014-03,54,41,47
2014-04,52,41,46
2014-05,52,39,44
2014-06,51,40,43
2014-07,47,39,45
2014-08,47,42,45
2014-09,47,41,51
2014-10,43,38,48
2014-11,41,38,44
2014-12,39,37,41
2015-01,56,51,45
2015-02,47,44,48
2015-03,51,43,46
2015-04,51,42,46
2015-05,48,42,44
2015-06,48,42,44
2015-07,47,42,47
2015-08,46,45,48
2015-09,43,46,50
2015-10,41,41,46
2015-11,38,41,41
2015-12,38,41,41
2016-01,52,52,44
2016-02,49,47,45
2016-03,48,46,43
2016-04,49,46,43
2016-05,47,45,42
2016-06,43,47,45
2016-07,44,57,42
2016-08,45,53,43
2016-09,43,50,44
2016-10,40,45,41
2016-11,38,45,44
2016-12,36,43,38
2017-01,54,56,41
2017-02,58,52,43
2017-03,50,51,46
2017-04,50,48,42
2017-05,48,47,44
2017-06,48,50,44
2017-07,52,53,43
2017-08,46,52,43
2017-09,44,49,46
2017-10,45,47,46
2017-11,43,47,49
2017-12,41,46,52
2018-01,59,59,55
2018-02,53,52,50
2018-03,55,51,48
